case:concept:name,concept:name,time:start,time:end,case:dims,case:threads
V5R9,"matmul(A,B)",2022-05-11 17:36:16.291133,2022-05-11 17:36:16.292262,"[300, 4000, 30, 320, 3000]",1
V5R9,"matmul(C,D)",2022-05-11 17:36:16.292262,2022-05-11 17:36:16.293007,"[300, 4000, 30, 320, 3000]",1
V5R9,"matmul(T_AB,T_CD)",2022-05-11 17:36:16.293007,2022-05-11 17:36:16.293827,"[300, 4000, 30, 320, 3000]",1
V1R6,"matmul(A,B)",2022-05-11 17:36:16.294720,2022-05-11 17:36:16.295642,"[300, 4000, 30, 320, 3000]",1
V1R6,"matmul(T_AB,C)",2022-05-11 17:36:16.295642,2022-05-11 17:36:16.295716,"[300, 4000, 30, 320, 3000]",1
V1R6,"matmul(T_ABC,D)",2022-05-11 17:36:16.295716,2022-05-11 17:36:16.302794,"[300, 4000, 30, 320, 3000]",1
V3R7,"matmul(B,C)",2022-05-11 17:36:16.303782,2022-05-11 17:36:16.304919,"[300, 4000, 30, 320, 3000]",1
V3R7,"matmul(T_BC,D)",2022-05-11 17:36:16.304919,2022-05-11 17:36:16.389394,"[300, 4000, 30, 320, 3000]",1
V3R7,"matmul(A,T_BCD)",2022-05-11 17:36:16.389394,2022-05-11 17:36:16.471234,"[300, 4000, 30, 320, 3000]",1
V2R8,"matmul(B,C)",2022-05-11 17:36:16.472244,2022-05-11 17:36:16.473494,"[300, 4000, 30, 320, 3000]",1
V2R8,"matmul(A,T_BC)",2022-05-11 17:36:16.473494,2022-05-11 17:36:16.481519,"[300, 4000, 30, 320, 3000]",1
V2R8,"matmul(T_ABC,D)",2022-05-11 17:36:16.481519,2022-05-11 17:36:16.487688,"[300, 4000, 30, 320, 3000]",1
V5R7,"matmul(A,B)",2022-05-11 17:36:16.488708,2022-05-11 17:36:16.489674,"[300, 4000, 30, 320, 3000]",1
V5R7,"matmul(C,D)",2022-05-11 17:36:16.489674,2022-05-11 17:36:16.490428,"[300, 4000, 30, 320, 3000]",1
V5R7,"matmul(T_AB,T_CD)",2022-05-11 17:36:16.490428,2022-05-11 17:36:16.491310,"[300, 4000, 30, 320, 3000]",1
V3R6,"matmul(B,C)",2022-05-11 17:36:16.492555,2022-05-11 17:36:16.493805,"[300, 4000, 30, 320, 3000]",1
V3R6,"matmul(T_BC,D)",2022-05-11 17:36:16.493805,2022-05-11 17:36:16.579186,"[300, 4000, 30, 320, 3000]",1
