case:concept:name,concept:name,time:start,time:end,case:dims,case:threads
V3R10,"matmul(B,C)",1652347206.024147,1652347206.024806,"[300, 4000, 30, 320, 3000]",4
V3R10,"matmul(T_BC,D)",1652347206.024806,1652347206.0632,"[300, 4000, 30, 320, 3000]",4
V3R10,"matmul(A,T_BCD)",1652347206.0632,1652347206.109793,"[300, 4000, 30, 320, 3000]",4
V2R11,"matmul(B,C)",1652347206.111285,1652347206.111957,"[300, 4000, 30, 320, 3000]",4
V2R11,"matmul(A,T_BC)",1652347206.111957,1652347206.116505,"[300, 4000, 30, 320, 3000]",4
V2R11,"matmul(T_ABC,D)",1652347206.116505,1652347206.120239,"[300, 4000, 30, 320, 3000]",4
V3R22,"matmul(B,C)",1652347206.121997,1652347206.122676,"[300, 4000, 30, 320, 3000]",4
V3R22,"matmul(T_BC,D)",1652347206.122676,1652347206.154403,"[300, 4000, 30, 320, 3000]",4
V3R22,"matmul(A,T_BCD)",1652347206.154403,1652347206.187524,"[300, 4000, 30, 320, 3000]",4
V3R9,"matmul(B,C)",1652347206.188699,1652347206.189292,"[300, 4000, 30, 320, 3000]",4
V3R9,"matmul(T_BC,D)",1652347206.189292,1652347206.226485,"[300, 4000, 30, 320, 3000]",4
V3R9,"matmul(A,T_BCD)",1652347206.226485,1652347206.262228,"[300, 4000, 30, 320, 3000]",4
V1R57,"matmul(A,B)",1652347206.263577,1652347206.264155,"[300, 4000, 30, 320, 3000]",4
V1R57,"matmul(T_AB,C)",1652347206.264155,1652347206.264246,"[300, 4000, 30, 320, 3000]",4
V1R57,"matmul(T_ABC,D)",1652347206.264246,1652347206.268253,"[300, 4000, 30, 320, 3000]",4
V3R35,"matmul(B,C)",1652347206.269698,1652347206.270404,"[300, 4000, 30, 320, 3000]",4
V3R35,"matmul(T_BC,D)",1652347206.270404,1652347206.306667,"[300, 4000, 30, 320, 3000]",4
V3R35,"matmul(A,T_BCD)",1652347206.306667,1652347206.348922,"[300, 4000, 30, 320, 3000]",4
V5R9,"matmul(A,B)",1652347206.350749,1652347206.351823,"[300, 4000, 30, 320, 3000]",4
V5R9,"matmul(C,D)",1652347206.351823,1652347206.351824,"[300, 4000, 30, 320, 3000]",4
V5R9,"matmul(T_AB,T_CD)",1652347206.351824,1652347206.352297,"[300, 4000, 30, 320, 3000]",4
V5R24,"matmul(A,B)",1652347206.353647,1652347206.354462,"[300, 4000, 30, 320, 3000]",4
V5R24,"matmul(C,D)",1652347206.354462,1652347206.354464,"[300, 4000, 30, 320, 3000]",4
V5R24,"matmul(T_AB,T_CD)",1652347206.354464,1652347206.355081,"[300, 4000, 30, 320, 3000]",4
V3R47,"matmul(B,C)",1652347206.356679,1652347206.357611,"[300, 4000, 30, 320, 3000]",4
V3R47,"matmul(T_BC,D)",1652347206.357611,1652347206.393753,"[300, 4000, 30, 320, 3000]",4
V3R47,"matmul(A,T_BCD)",1652347206.393753,1652347206.433597,"[300, 4000, 30, 320, 3000]",4
V4R9,"matmul(C,D)",1652347206.435479,1652347206.436135,"[300, 4000, 30, 320, 3000]",4
V4R9,"matmul(B,T_CD)",1652347206.436135,1652347206.441588,"[300, 4000, 30, 320, 3000]",4
V4R9,"matmul(A,T_BCD)",1652347206.441588,1652347206.482134,"[300, 4000, 30, 320, 3000]",4
V4R15,"matmul(C,D)",1652347206.483435,1652347206.484244,"[300, 4000, 30, 320, 3000]",4
V4R15,"matmul(B,T_CD)",1652347206.484244,1652347206.489825,"[300, 4000, 30, 320, 3000]",4
V4R15,"matmul(A,T_BCD)",1652347206.489825,1652347206.529349,"[300, 4000, 30, 320, 3000]",4
V1R56,"matmul(A,B)",1652347206.53013,1652347206.53075,"[300, 4000, 30, 320, 3000]",4
V1R56,"matmul(T_AB,C)",1652347206.53075,1652347206.530889,"[300, 4000, 30, 320, 3000]",4
V1R56,"matmul(T_ABC,D)",1652347206.530889,1652347206.534683,"[300, 4000, 30, 320, 3000]",4
V5R69,"matmul(A,B)",1652347206.536538,1652347206.538202,"[300, 4000, 30, 320, 3000]",4
V5R69,"matmul(C,D)",1652347206.538202,1652347206.538204,"[300, 4000, 30, 320, 3000]",4
V5R69,"matmul(T_AB,T_CD)",1652347206.538204,1652347206.538645,"[300, 4000, 30, 320, 3000]",4
V2R7,"matmul(B,C)",1652347206.540485,1652347206.541366,"[300, 4000, 30, 320, 3000]",4
V2R7,"matmul(A,T_BC)",1652347206.541366,1652347206.546169,"[300, 4000, 30, 320, 3000]",4
